ID карточки,ID товара,ISBN,Автор,Возраст,Год издания,Голоса,Издательство,Кол-во страниц,Название,Обложка,Переводчик,Редактор,Рейтинг,Серия,Тип обложки,Тираж,Формат,Художник,Цена
979981,2588540,9785171032807,Фрай М.,16+,2017,0,АСТ,320,Неуловимый Хабба Хэн,,,,0,Эксклюзивная новая классика,Мягкая бумажная,3500,18 x 11.5 x 2.4,,162
980081,2588816,9785171034146,Фрай М.,16+,2017,2,АСТ,320,Прокотиков,,,,5,Миры Макса Фрая,Твердая бумажная,2500,20.6 x 13 x 1.8,,332
980082,2588817,9785171038922,Фрай М.,18+,2017,4,АСТ,320,Сказки старого Вильнюса,,,,5,,Твердая бумажная,3000,20.6 x 13 x 1.8,,332
980083,2588818,9785171040123,Фрай М.,16+,2017,3,АСТ,448,Сказки старого Вильнюса III,,,,4,,Твердая бумажная,2000,20.5 x 13 x 2.5,,356
980937,2590892,9785171027773,Фрай М.,16+,2017,3,АСТ,416,Сказки старого Вильнюса II,,,,5,,Твердая бумажная,2000,20.5 x 13 x 2.5,,332
982664,2592319,9785699911554,Емец Д.,12+,2017,1,Эксмо,416,Месть валькирий,,,,5,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14.5 x 2.5,,327
982684,2592427,9785001110255,Хантер Э.,6+,2017,8,Абрис,319,Сверкающая Звезда,,,,4,Коты-воители,Твердая бумажная,10000,20.6 x 13 x 1.6,,304
987656,2596351,9785171035648,Фрай М.,18+,2017,2,АСТ,544,Одна и та же книга,,,,5,Миры Макса Фрая,Твердая бумажная,4000,20.6 x 13.1 x 3.5,,395
990102,2598161,9785001110514,Хантер Э.,6+,2017,2,Абрис,318,Гроза Ежевичной Звезды. Бедствие,,Максимова Вероника,,5,Коты-воители,Твердая бумажная,10000,20.6 x 13 x 1.6,Насыров Леонид,304
991033,2598904,9785171042202,Фрай М.,18+,2017,2,АСТ,352,Сказки старого Вильнюса VI,,,,5,,Суперобложка,6000,20.5 x 13.2 x 2,,395
993386,2600330,9785699913411,Емец Д.,12+,2017,0,Эксмо,400,Тайная магия Депресняка,,,,0,Мефодий Буслаев. Легендарное детское фэнтези,Твердая бумажная,5000,22 x 14.5 x 2.3,,342
996307,2602879,9785171035693,Фрай М.,18+,2017,1,АСТ,448,Сказки и истории,,,,5,Миры Макса Фрая,Твердая бумажная,4000,20.5 x 13.1 x 2.3,,356
996817,2603427,9785699984985,Емец Д.,16+,2017,5,Эксмо,448,Цветок Трех Миров,,,,5,"Детск. Школа ныряльщиков (Шныр, новый суперпроект Д. Емца)",Твердая бумажная,7000,20.5 x 13 x 2.5,,350
996829,2603441,9785001110439,Хантер Э.,,2017,5,Абрис,319,Гроза Ежевичной Звезды. Вода и кровь,,,Корчагина О.,5,Коты-воители,Твердая бумажная,8000,20.5 x 13.2 x 1.7,,304
